shelfNo,row,column,name,about,url,checkDate,amount
13,1,3,15倍ルーペ,ルーペ R-1。マルエス商会にて購入。シンワ測定株式会社製,http://www.shinwasokutei.co.jp/,160827,1
14,1,1,ESP-WROOM-02,ESP-WROOM-02 Wi-Fiモジュール,https://www.switch-science.com/catalog/2346/,160827,3
14,1,2,LF-PB30W25C,発振回路内蔵圧電ブザー リードタイプ LF-PB30W25C,http://eleshop.jp/shop/g/gB6N361/,160827,2
15,1,1,ジュンフロン赤AWG28,ジュンフロンETFE電線　AWG28-100m：赤,http://www.sunhayato.co.jp/material2/index.php/item?cell003=%E6%B2%BB%E5%85%B7%E3%83%BB%E5%B7%A5%E5%85%B7%E8%A3%BD%E5%93%81&cell004=%E3%83%8F%E3%83%B3%E3%83%80%E9%96%A2%E9%80%A3%E7%94%A8%E5%93%81&name=%E3%82%B8%E3%83%A5%E3%83%B3%E3%83%95%E3%83%AD%E3%83%B3ETFE%E9%9B%BB%E7%B7%9A%E3%80%80AWG28-100m%EF%BC%9A%E8%B5%A4&id=1023&label=1,160827,1
15,1,2,ジュンフロン黒AWG28,ジュンフロンETFE電線　AWG28-100m：黒,http://www.sunhayato.co.jp/material2/index.php/item?cell003=%E6%B2%BB%E5%85%B7%E3%83%BB%E5%B7%A5%E5%85%B7%E8%A3%BD%E5%93%81&cell004=%E3%83%8F%E3%83%B3%E3%83%80%E9%96%A2%E9%80%A3%E7%94%A8%E5%93%81&name=%E3%82%B8%E3%83%A5%E3%83%B3%E3%83%95%E3%83%AD%E3%83%B3ETFE%E9%9B%BB%E7%B7%9A%E3%80%80AWG28-100m%EF%BC%9A%E9%BB%92&id=1022&label=1,160827,1
16,1,1,フラットケーブル14芯,カラースダレケーブル 14C FRX-CF-S 14C. 11cm,http://eleshop.jp/shop/g/gA5G145/,160827,1
16,1,2,端子付きケーブル(XHP-2),端子付きケーブル (XHP-2) [CB-XHP2P-100],http://www.aitendo.com/product/4818,160827,2
17,1,1,UL1007 AWG28 赤,UL1007 AWG28 赤 10m. 外径1.2mm 耐圧300V 耐熱80度,,160827,1
17,1,2,SHW-S 青,SHW-S(単線) 0.65mm 10m 外径1.45mm ブレッドボードに最適,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-0GRZ,160827,1
17,1,3,UEW ポリウレタン銅線,ポリウレタン銅線（０．２９ｍｍ　２０ｍ）,http://akizukidenshi.com/catalog/g/gP-09583/,160827,1
17,1,4,AWG24線端切れ,AWG24の線。色々な色の端切れ,,160827,1
18,1,1,SHW-S 黒,SHW-S(単線) 0.65mm 10m 外径1.45mm ブレッドボードに最適,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-0AW7,160827,2
18,1,2,AWG28線端切れ,AWG28の線。色々な色の端切れ,,160827,1
9999,1,1,shelf0015,箱 > チップスター S,http://www.yamazaki-nabisco.co.jp/products_nb/products_snack_nb/,160827,1
9999,1,2,shelf0016,箱 > チップスター S,http://www.yamazaki-nabisco.co.jp/products_nb/products_snack_nb/,160827,1
9999,1,3,shelf0017,袋 > Ziploc フリーザパック 中,http://www.asahi-kasei.co.jp/saran/products/ziploc/freezer.html,160827,1
9999,1,4,shelf0018,袋 > Ziploc フリーザパック 中,http://www.asahi-kasei.co.jp/saran/products/ziploc/freezer.html,160827,1
